"USNM.no.","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight"
"608372","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3241,"GRG","CJD","T-961","ASY","6x5, 4x3",9,"partial",58.1,52.2,3.3,3.9,11,6.9,NA,NA,"blue",17,14.8,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; no fat; stomach saved; no molt","",NA
"608373","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3242,"GRG","CJD","T-962","SY","6x4, 6x4",9.8,"partial",60.3,51.8,3.3,4.1,10.2,7.1,NA,NA,"green",13,13.9,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; feet: yellowish pads; moderate fat; stomach saved; no molt","",NA
"608374","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3214,"GRG","CJD","T-934","ASY","7x5, 6x6",9.3,"partial",63.7,51,3.4,4.3,11,6.9,NA,NA,"blue",12.6,16.8,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 4/2; no fat; stomach saved; no molt","",NA
"608375","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3243,"GRG","JPD","T-963","?SY","NA, 5.5x 5.5",8.9,"partial",61.7,52.2,3,4,10.7,7,NA,NA,"bluish green",15.8,18.8,2,2,NA,2,NA,"bill black; mouth lining black; legs munsell 2.5Y 3/2; no fat; stomach saved; no molt; L testis destroyed by shot; R testis mushy","",NA
"608376","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3245,"GRG","JPD","T-965","SY","6x4, NA",9.8,"partial",62.9,55.5,NA,NA,NA,NA,NA,NA,"green",9.9,12.1,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 5Y 4/2; stomach saved; no molt; R testis not found; Rectrix right 1 80% grown; bill broken off","",NA
"608377","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3244,"GRG","CJD","T-964","SY","7x4, 6x5",9,"partial",59.8,53.4,3,4,10.9,6.9,NA,NA,"green",11.8,12.2,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; no fat; stomach saved; no molt","",NA
"608378","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3246,"GRG","CJD","T-966","ASY","6x5, 5x5",9.4,"partial",64.9,53.5,3.1,4.1,11,6.4,NA,NA,"blue",13,15,2,2,2,2,NA,"bill black; mouth lining dark brown; legs munsell 5Y 2.5/2; light fat; stomach saved; no molt","",NA
"608379","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3216,"GRG","CJD","T-936","ASY","8x6, 6x5",9.6,"partial",63.1,51.6,3.1,4.4,10.6,7.1,NA,NA,"blue",14.5,14.9,2,2,NA,2,NA,"bill black; mouth lining light brown; legs munsell 2.5Y 3/2; light fat; stomach saved; no molt","",NA
"608406","Setophaga caerulescens","23","Jun","92","Fawn Lake, Adirondack State Park; 650m","Hamilton","NY","M","NY.Hamilton","North Central",43.4890471,-74.4540282,3305,"GRG","CJD","T-1025","SY","6x5, NA",10.1,"partial",61.9,49.9,NA,NA,10,6.5,NA,NA,"green",14.6,11,2,2,2,2,NA,"bill black; mouth lining brown; legs munsell 2.5Y 3/2; feet:yellowish pads; moderate fat; stomach saved; no molt; R testis deflated; base of bill broken at nares","",NA
"608409","Setophaga caerulescens","25","Jun","92","Fawn Lake, Adirondack State Park; 650m","Hamilton","NY","M","NY.Hamilton","North Central",43.4890471,-74.4540282,3320,"GRG","JPD","T-1040","SY","4x5, 6x5.5",9.65,"partial",59.6,52.5,3.1,4.2,11.1,7.4,NA,NA,"green",9.9,11.6,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 5Y 4/4; light fat; stomach saved; no molt; L testis deflated","lots of feathers missing from belly, only did 2 measures",NA
"608411","Setophaga caerulescens","23","Jun","92","SE Flank of Fawn Lake Mountain, Adirondack State Park; 650m","Hamilton","NY","M","NY.Hamilton","North Central",43.708677,-74.7798908,3307,"GRG","CJD","T-1027","ASY","6x5, 5x4",10,"partial",63.4,52.2,2.8,3.8,NA,NA,NA,NA,"green",11.8,12.2,2,2,2,2,NA,"bill black; mouth lining brown; legs munsell 5Y 3/1; moderate fat; stomach saved; no molt; upper bill broken","",NA
"608417","Setophaga caerulescens","24","Jun","92","SE Flank of Fawn Lake Mountain, Adirondack State Park; 650m","Hamilton","NY","M","NY.Hamilton","North Central",43.708677,-74.7798908,3223,"GRG","JPD","T-943","SY","6.5x5.5, 6x4.5",9.15,"partial",62.2,51.1,2.9,3.9,NA,NA,NA,NA,"green",10.7,12,2,2,2,2,NA,"bill black; mouth lining brownish ivory; legs munsell 2.5Y 4/2; no fat; stomach saved; no molt; very tip of bill chipped off","",NA
"608419","Setophaga caerulescens","25","Jun","92","SE Flank of Fawn Lake Mountain, Adirondack State Park; 650m","Hamilton","NY","M","NY.Hamilton","North Central",43.71678,-74.75517,3322,"GRG","JPD","T-1042","ASY","7.5x6, 6.5x5",9.8,"partial",61.4,53.8,3,4.1,10,6.7,NA,NA,"blue",10.4,13.1,2,2,2,2,NA,"bill black; mouth lining black; legs Munsell 5Y 2.5/2; light fat; no molt; stomach saved","",NA
"608426","Setophaga caerulescens","24","Jun","92","East End of Squaw Lake, Adirondack State Park; 700m","Hamilton","NY","M","NY.Hamilton","North Central",43.6333221,-74.7388276,3225,"GRG","JPD","T-945","ASY","8x6, 6.5x5.5",9.5,"partial",61.3,51.6,3.3,4.2,10,6.3,NA,NA,"blue",11.6,13.1,2,2,2,2,NA,"bill black; mouth lining brownish cream; legs munsell 5Y 4/2; stomach saved; no molt","",NA
"608427","Setophaga caerulescens","24","Jun","92","1mi N Falls Pond, Adirondack State Park; 600m","Hamilton","NY","M","NY.Hamilton","North Central",43.6310659,-74.6857839,3326,"GRG","JPD","T-946","ASY","7.5x5, 7x5",10.2,"partial",62,51.5,3.1,4.1,10.6,6.5,NA,NA,"blue",15,14.3,2,2,2,2,NA,"bill black; mouth lining ivory; legs munsell 2.5Y 3/2; light fat; stomach saved; no molt","",NA
"608428","Setophaga caerulescens","24","Jun","92","1mi N Falls Pond, Adirondack State Park; 600m","Hamilton","NY","M","NY.Hamilton","North Central",43.6310659,-74.6857839,3316,"GRG","CJD","T-1036","SY","7x4, 6x6",10.1,"partial",62.1,54.5,2.8,4.5,11,6.7,NA,NA,"green",8.8,8.3,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; moderate fat; stomach saved; no molt","",NA
"608568","Setophaga caerulescens","12","Jun","93","ca 9mi SW Davis on Red Run (10.5mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 1000m","Tucker","WV","M","WV.Tucker","Central",39.03255,-79.41061,3325,"GRG","JPD","T-1045","SY","6.5x5, 5x4.5",9.3,"partial",60.4,53.3,2.9,3.9,10.5,7,NA,NA,"green",12.3,10.4,2,2,2,2,NA,"bill black; mouth lining black; legs: munsell 2.5Y 4/4 (olive brown); stomach saved","",NA
"608573","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10.5mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 1000m","Tucker","WV","M","WV.Tucker","Central",39.03255,-79.41061,3330,"GRG","JPD","T-1050","ASY","7.5x5.5, 6.5x5.5",NA,"partial",63.7,53.6,2.6,3.5,9.4,6.6,NA,NA,"blue",11.7,11.8,2,2,2,2,NA,"bill black; mouth lining black; legs: munsell 2.5Y 3/2 (very dark grayish brown); no molt; stomach saved","",NA
"608575","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10.5mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 1000m","Tucker","WV","M","WV.Tucker","Central",39.06175,-79.51135,3332,"GRG","JPD","T-1052","ASY","7x5, 6x5",9.4,"partial",64.3,53.8,3.1,3.8,10.6,7,NA,NA,"blue",17.8,20,2,2,2,2,NA,"bill black; mouth lining dark ivory edged with black; legs Munsell 2.5Y 3/2 (very dark grayish brown); very light fat; no molt; stomach saved","",NA
"608576","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3333,"GRG","JPD","T-1053","ASY","6.5x5, 6x5",8.7,"partial",63.6,54.4,2.9,4.1,10,6.7,NA,NA,"blue",14.8,17.8,2,2,2,2,NA,"bill black; mouth lining center horn, edge black; legs: munsell 5Y 3/2 (dark olive gray); no fat; no molt; stomach saved","",NA
"608578","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3335,"GRG","JPD","T-1055","SY","6.5x5.5, 6.5x5",9.6,"partial",59.4,51.9,3.1,4.1,10.7,6.9,NA,NA,"green",8.6,11.8,2,2,2,2,NA,"bill black; mouth lining dark gray; legs: munsell 5Y 2.5/2 (black); light fat; no molt; stomach saved","",NA
"608580","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06175,-79.51135,3337,"GRG","JPD","T-1057","SY","NA, 6x5",9.8,"partial",64.1,53.4,3.1,4.3,10,6.8,NA,NA,"green",13,12.6,2,2,2,2,NA,"bill black; mouth lining ivory gray; legs Munsell 5Y 3/2 (dark olive gray); light fat; no molt; stomach saved; L testis shot away","",NA
"608583","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3340,"GRG","JPD","T-1060","SY","6x5.5, NA",9.6,"partial",64.2,53.2,3,3.8,10.8,6.3,NA,NA,"green",14,13.9,2,2,2,2,NA,"bill black; mouth lining ivory; legs: munsell 2.5Y 3/2 (very dark grayish brown); light fat; no molt; stomach saved; R testis destroyed","",NA
"608585","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3342,"GRG","JPD","T-1062","ASY",NA,9.7,"partial",63.7,52.9,3.1,3.8,10,6.9,NA,NA,"blue",11.6,12.1,2,2,2,2,NA,"bill black; mouth lining black; legs: munsell 5Y 3/2 (dark olive gray); no fat; no molt; stomach saved; testes seen but too damaged to measure","",NA
"608587","Setophaga caerulescens","13","Jun","93","ca 9mi SW Davis on Red Run (10mi W Hwy 32 on Forest Service Road 13), Monongahela Nat'l Forest; 990m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3344,"GRG","JPD","T-1064","SY","6x5, 5x4.5",10.2,"partial",63.4,52.9,2.9,4,11.3,6.7,NA,NA,"green",10.8,12.3,2,2,2,2,NA,"bill black; mouth lining ivory gray; legs: munsell 5Y 2.5/1 (black); light fat; no molt; stomach saved","",NA
"608590","Setophaga caerulescens","13","Jun","93","Red Run at junction of Forest Service Roads 13 and 412, 7mi W of Hwy 32, Monongahela Nat'l Forest; 895m","Tucker","WV","M","WV.Tucker","Central",39.06243,-79.53341,3347,"GRG","JPD","T-1067","ASY","8x6, 5x4",9.9,"partial",62.3,52.6,3.1,4.3,10.4,6.8,NA,NA,"blue",10.5,12.1,2,2,2,2,NA,"bill black; mouth lining black; legs: munsell 2.5Y 3/2 (very dark grayish brown); light fat; no molt; stomach saved","",NA
"608618","Setophaga caerulescens","16","Jun","93","Skyview Rd; 800m","Bedford","PA","M","PA.Bedford","Central",40.23369,-78.66564,3375,"GRG","JPD","T-1095","ASY","6x5, 6.5x5",9.5,"partial",67.2,54.3,2.8,NA,10.5,7.4,NA,NA,"blue",13.5,14.8,2,2,2,2,NA,"bill black; mouth lining center ivory, edge black; legs munsell 2.5Y 3/2 (very dark grayish brown); light fat; stomach saved; no molt; L testis mushy","",NA
"608621","Setophaga caerulescens","16","Jun","93","Skyview Rd; 800m","Bedford","PA","M","PA.Bedford","Central",40.23369,-78.66564,3378,"GRG","JPD","T-1098","ASY","7.5x5.5, 7x5.5",9.7,"partial",62.9,53.3,3.3,3.8,11.2,6.9,NA,NA,"blue",11.1,12.2,2,2,2,2,NA,"bill black; mouth lining ivory gray; legs munsell 2.5Y 4/2 (dark grayish brown); light fat; stomach saved; no molt","",NA
"608624","Setophaga caerulescens","16","Jun","93","Skyview Rd; 800m","Bedford","PA","M","PA.Bedford","Central",40.23369,-78.66564,3381,"GRG","JPD","T-1101","SY","7x5.5, 6.5x4.5",9.2,"partial",62.1,49.4,3,4,10.1,7,NA,NA,"green",11.1,10.9,2,2,2,2,NA,"bill black; mouth lining ivory; legs munsell 5Y 2.5/2 (black); light to moderate fat; stomach saved; no molt","",NA
"608626","Setophaga caerulescens","16","Jun","93","Skyview Rd; 800m","Bedford","PA","M","PA.Bedford","Central",40.23369,-78.66564,3383,"GRG","CJD","T-1103","ASY","8x6",9.2,"partial",64.6,52,NA,NA,11.1,6.8,NA,NA,"blue",15.9,13.9,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 5Y 2.5/1 (black); stomach saved; light fat; no molt; R testis not found; upper and lower bill askew","",NA
"608628","Setophaga caerulescens","17","Jun","93","Road T614 at Lincoln/West St. Clair Township line; 670m","Bedford","PA","M","PA.Bedford","Central",40.22306,-78.66237,3386,"GRG","JPD","T-1106","SY","7x5, 5x5",8.95,"partial",62.8,47.8,3,4.1,10.9,6.7,NA,NA,"green",9,10,2,2,2,2,NA,"bill black; mouth lining center cream, edge ivory; legs munsell 2.5Y 3/2 (very dark grayish brown); stomach saved; very light fat; no molt","",NA
"608629","Setophaga caerulescens","17","Jun","93","1.5mi N Skyview Rd on Dirt Road to State Game Lands No.26; 800m","Bedford","PA","M","PA.Bedford","Central",40.24508,-78.68679,3387,"GRG","CJD","T-1107","ASY","7x5, 6x5",9.3,"partial",63.9,52.8,2.8,3.9,10.2,7,NA,NA,"blue",18.4,17.8,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 5Y 2.5/1 (black); stomach saved","",NA
"608630","Setophaga caerulescens","17","Jun","93","2.5mi N Skyview Rd on Dirt Road to State Game Lands No.26; 700m","Bedford","PA","M","PA.Bedford","Central",40.24508,-78.68679,3388,"GRG","JPD","T-1108","ASY","6.5x5 6.5x5.5",9.2,"partial",63.1,49.9,3.2,4.1,10.3,6.9,NA,NA,"blue",20.3,16.6,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 2.5Y 3/2 (very dark grayish brown); very light fat; stomach saved; no molt","",NA
"608631","Setophaga caerulescens","17","Jun","93","Switch-back Trail on Slopes above Skyview Road and Township Rd T614; 750m (740m770m)","Bedford","PA","M","PA.Bedford","Central",40.22304,-78.66463,3389,"GRG","JPD","T-1109","ASY","8.5x6.5, 6.5x5.5",10.2,"partial",65.7,50.3,2.9,3.9,10.9,6.9,NA,NA,"blue",12.6,10.4,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 5Y 3/1 (very dark gray); light fat; stomach saved; no molt; 1/2 tail missing; skin washed in ivory snow soap","",NA
"608641","Setophaga caerulescens","18","Jun","93","Old Tyrone Pike, 0.6mi N Mountain Road above Bright Run; 560m","Centre","PA","M","PA.Centre","Central",40.761,-78.204,3399,"GRG","JPD","T-1119","ASY",NA,9.35,"partial",61.7,53.7,3.1,3.7,9.5,6.6,NA,NA,"blue",13.7,13.7,2,2,2,2,NA,"bill black; mouth lining black; legs Munsell 5Y 3/2 (very dark grayish brown); light fat; no molt; stomach saved; testes ruptured, not measured","",NA
"608642","Setophaga caerulescens","18","Jun","93","Old Tyrone Pike, 0.6mi N Mountain Road above Bright Run; 560m","Centre","PA","M","PA.Centre","Central",40.761,-78.204,3400,"GRG","JPD","T-1120","ASY","6.5x5, 5x5",9.8,"partial",63.6,51.8,3.2,4.1,11.5,6.8,NA,NA,"blue",12.8,15.5,2,2,3,2,NA,"bill black; mouth lining black; legs Munsell 5Y 2.5/2 (black); light fat; no molt; stomach saved; testes both mushy","",NA
"608648","Setophaga caerulescens","18","Jun","93","Old Tyrone Pike, 0.95mi N Mountain Road above Bright Run; 610m","Centre","PA","M","PA.Centre","Central",40.764,-78.198,3406,"GRG","CJD","T-1126","ASY","6x5, 5x5",9.8,"partial",64.2,55.4,3,4.1,10.1,6.9,NA,NA,"blue",13.6,16.5,2,2,3,2,NA,"bill black; mouth lining black; legs Munsell 5Y 2.5/1 (black); moderate fat; no molt; stomach saved; L testis flat","",NA
"610037","Setophaga caerulescens","13","Jun","96","Santeetlah Creek, 4.85mi below Stratton Gap on Forest Service Road 81, Nantahala Nat'l Forest; 875m","Graham","NC","M","NC.Graham","South",35.34761,-84.02686,3545,"GRG","JPA","T-1265","ASY","6.5x6, 5x4.5",9.6,"partial",63.4,55.6,NA,NA,11,5.9,NA,NA,"blue",13.8,13.7,2,2,2,NA,NA,"mouth lining: slaty gray; legs Munsell 5Y 2.5/2; little fat; weight post-freezing; skull SCO","",NA
"610045","Setophaga caerulescens","14","Jun","96","Santeetlah Creek, 3.7mi below Stratton Gap on Forest Service Road 81, Nantahala Nat'l Forest; 1010m","Graham","NC","M","NC.Graham","South",35.34761,-84.02686,3553,"GRG","CMM","T-1273","ASY",NA,9.1,"partial",63,53.4,3,4,10.4,6.6,NA,NA,"blue",17.9,20.6,2,2,2,2,NA,"mouth lining: slaty; legs Munsell 5Y 3/2; little fat; no molt; weight post-freezing; seminal vesicles 4x4mm; testes not found","",NA
"610049","Setophaga caerulescens","14","Jun","96","Santeetlah Creek, 2.7mi below Stratton Gap on Forest Service Road 81, Nantahala Nat'l Forest; 1125m","Graham","NC","M","NC.Graham","South",35.34761,-84.02686,3557,"GRG","BKS","T-1277","ASY","7x6, 5x4",10,"partial",66.1,55.1,2.8,4.5,NA,NA,NA,NA,"blue",20,20.3,2,2,2,2,NA,"mouth lining: black; legs Munsell 5Y 2.5/2; trace fat; no molt; weight post-freezing; skull 100% pneumatized; seminal vesicles 4x4mm, tubules enlarged; tip of bill broken","",NA
"610052","Setophaga caerulescens","15","Jun","96","Santeetlah Creek, 2.3mi below Stratton Gap on Forest Service Road 81, Nantahala Nat'l Forest; 1175m","Graham","NC","M","NC.Graham","South",35.34761,-84.02686,3560,"GRG","JPA","T-1280","SY","7x6, 4.5x6",9.4,"partial",63.2,54.6,NA,NA,NA,NA,NA,NA,"green",8.7,7.2,2,2,2,2,NA,"mouth lining: cream; legs Munsell 2.5Y 3/2; no fat; skull SCO; weight post-freezing; bill cracked at nares and lower bill misaligned with upper bill","",NA
"610062","Setophaga caerulescens","17","Jun","96","Stratton Gap, 0.`mi below, on Forest Service Road 81, Nantahala Nat'l Forest; 1310m ","Graham","NC","M","NC.Graham","South",35.33751,-84.03101,3570,"GRG","CJD","T-1290-a,b","ASY","6x5, 5x5",9.9,"partial",65.3,59.2,3.1,4.4,11.4,7.8,NA,NA,"blue",18.1,22.4,2,2,2,2,NA,"mouth lining: dark gray; legs Munsell 5Y 25./1; no fat; no molt; weight post-freezing","no overwing covert visible",NA
"610065","Setophaga caerulescens","17","Jun","96","Stratton Gap, 0.4mi below, on Forest Service Road 81, Nantahala Nat'l Forest; 1315m ","Graham","NC","M","NC.Graham","South",35.33751,-84.03101,3573,"GRG","CMM","T-1293","SY",NA,8.8,"partial",68.7,54.7,3.1,3.9,11,7.6,NA,NA,"green",17.9,18,2,2,2,2,NA,"mouth lining: brownish black; legs Munsell 5Y 25./2; light fat; no molt; ossified skull; testes shot; weight post-freezing","",NA
"610076","Setophaga caerulescens","20","Jun","96","Wolf Laurel Road (FSs Road 81-F), 1.7mi above Jct. 81 and 81-F, Nantahala Nat'l Forest, 1265m","Graham","NC","M","NC.Graham","South",35.35231,-83.99466,3584,"GRG","JPA","T-1304","ASY","6.5x4, 5x4",9.3,"partial",64,54,3,4.2,10.7,6.8,NA,NA,"blue",14.9,12.1,2,2,2,2,NA,"mouth lining: slaty black; legs Munsell 5Y 25./1; weight post-freezing","",NA
"612854","Setophaga caerulescens","7","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00456,-83.05503,2613,"GRG","JPD","581-a,b","ASY","6x5, NA",9.6,"partial",65.4,53.9,2.9,4,10.2,7.2,NA,NA,"blue",11,11.2,2,2,2,2,NA,"testes mushy","",NA
"612855","Setophaga caerulescens","7","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00284,-83.05467,2614,"GRG","JPD","T-582-a,b","SY","7x5",9.3,"partial",63.4,50.9,3.3,3.5,10.6,7.5,NA,NA,"green",13,13.7,2,2,NA,2,NA,"","",NA
"612856","Setophaga caerulescens","7","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00456,-83.05503,2615,"GRG","JPD","583-a,b","ASY","8x6",8.7,"partial",63.9,54.9,2.9,3.6,10.8,6.9,NA,NA,"blue",13.7,13,2,2,2,2,NA,"","",NA
"612857","Setophaga caerulescens","5","Jun","89","Kings Creek; 0.5mi W Hwy 107; Sumter Nat'l Forest; 800m","Oconee","SC","M","SC.Oconee","South",34.96542,-83.09102,2620,"GRG","JPD","588-a,b","ASY","8x6, 6x5.5",9.2,"partial",64,52.2,3,3.7,10.8,7.5,NA,NA,"blue",10.4,10.9,2,2,2,2,NA,"","",NA
"612859","Setophaga caerulescens","7","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00456,-83.05503,2630,"GRG","JPD","598-a,b","SY","5.5x4.5",10.4,"partial",65.5,49.2,3.3,4,10.3,7.4,NA,NA,"green",3.7,7.7,2,2,2,2,NA,"","I don't really trust this, because the wingspot is virtually non existant - maybe damaged?",NA
"612863","Setophaga caerulescens","7","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00456,-83.05503,2634,"GRG","JPD","602-a,b","ASY","7x5, 5x4",9.4,"partial",61.4,51.7,3.3,3.9,10.3,6.4,NA,NA,"blue",13.3,13.5,2,2,2,2,NA,"","",NA
"612865","Setophaga caerulescens","8","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 880m","Oconee","SC","M","SC.Oconee","South",35.00284,-83.05467,2636,"GRG","JPD","T-604-a,b","SY","7.5x6, 6x4.5",9.3,"partial",63,47.2,2.9,3.9,10.6,7.2,NA,NA,"green",12.7,13.8,2,2,NA,2,NA,"only one rectrix","",NA
"612867","Setophaga caerulescens","8","Jun","89","E. Fork Chattooga River at Hwy 107; Sumter Nat'l Forest; 885m","Oconee","SC","M","SC.Oconee","South",35.00456,-83.05503,2638,"GRG","JPD","606-a,b","ASY","7x5",10,"partial",66.9,53.9,3.1,3.8,10.9,7.1,NA,NA,"blue",16.3,14.3,2,2,2,NA,NA,"","",NA
"612879","Setophaga caerulescens","12","Jun","89","Chestnut Creek , 2mi W. Little Bald Mtn; Chattahoocee Nat'l Forest; 790m","Union","GA","M","GA.Union","South",34.77231,-84.01383,2616,"GRG","JPD","584-a,b","SY","7x6",10,"partial",62.7,53.7,3.3,3.9,10.3,6.5,NA,NA,"green",7.9,11.8,2,2,2,2,NA,"","",NA
"612880","Setophaga caerulescens","12","Jun","89","Chestnut Creek , 2mi W. Little Bald Mtn; Chattahoocee Nat'l Forest; 790m","Union","GA","M","GA.Union","South",34.77231,-84.01383,2617,"GRG","JPD","585-a,b","ASY","7x5",8.95,"partial",63.9,52.1,3.2,4.2,NA,NA,NA,NA,"blue",11.7,13.3,2,2,2,2,NA,"upper bill tip chipped out","",NA
"612881","Setophaga caerulescens","11","Jun","89","Chestnut Creek , 2mi W. Little Bald Mtn; Chattahoocee Nat'l Forest; 790m","Union","GA","M","GA.Union","South",34.77231,-84.01383,2618,"GRG","JPD","586-a,b","ASY",NA,10,"partial",64.8,56.1,3,3.7,11,7.1,NA,NA,"blue",16.8,16.5,2,2,2,2,NA,"testes mush","",NA
"612882","Setophaga caerulescens","11","Jun","89","Chestnut Creek , 2mi W. Little Bald Mtn; Chattahoocee Nat'l Forest; 790m","Union","GA","M","GA.Union","South",34.77231,-84.01383,2619,"GRG","JPD","587-a,b","ASY",NA,10,"partial",61.5,50.7,3.1,4.3,10.6,7.2,NA,NA,"blue",12.1,11.4,2,2,2,2,NA,"testes mush","no overwing covert visible",NA
"612883","Setophaga caerulescens","10","Jun","89","West Cooper Creek; 2mi S. Little Bald Mtn; Chattahoochee Nat'l Forest; 860m","Union","GA","M","GA.Union","South",34.76412,-84.00542,2621,"GRG","JPD","588-a,b","ASY","7.5x5",9.4,"partial",60.6,51,3.1,3.5,10.5,6.7,NA,NA,"blue",11.8,14.9,2,2,2,2,NA,"","",NA
"612884","Setophaga caerulescens","10","Jun","89","West Cooper Creek; 2mi S. Little Bald Mtn; Chattahoochee Nat'l Forest; 860m","Union","GA","M","GA.Union","South",34.76412,-84.00542,2622,"GRG","JPD","590-a,b","ASY","6.5x4.5",9.8,"partial",65.8,56.1,3.3,4,10.2,6.9,NA,NA,"blue",11.5,12,2,2,2,2,NA,"","",NA
"612886","Setophaga caerulescens","10","Jun","89","West Cooper Creek; 2mi S. Little Bald Mtn; Chattahoochee Nat'l Forest; 860m","Union","GA","M","GA.Union","South",34.76412,-84.00542,2624,"GRG","JPD","592-a,b","ASY","7.5x6",9,"partial",61.1,50.1,3.1,3.9,10.8,7,NA,NA,"blue",10,13.1,2,2,2,2,NA,"","",NA
"612889","Setophaga caerulescens","10","Jun","89","Cooper Creek; 2mi SW Little Bald Mtn; Chattahoochee Nat'l Forest; 720m","Union","GA","M","GA.Union","South",34.76163,-84.00799,2627,"GRG","CJD","595-a,b","ASY","7x5, 5x4",9.6,"partial",60.7,52.3,3.1,4.3,10.9,7,NA,NA,"blue",15.9,14.2,2,2,2,2,NA,"","",NA
